title,artist,rank,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,lyrics,id
DIE,Gazo,1,0.695,0.63,8,-7.16,0,0.035,0.229,0.0,0.118,0.55,130.968,240413,4,"[Paroles de ""DIE""] [Intro] La mala est gangx Eh Bang-bang Eh Grr-grr Le bang-bang Ton gars Sherko est l'ingé' Eh-eh toujours BSB Hey (Hey) [Refrain] Tu crois que j't'évite alors que j'maille (Que j'maille) Elle veut savoir j'suis dans quel bail (Quel bail) Dis où tu veux qu'on s'voit (S'voit) et j'te donnerais c'que tu veux d'moi (Veux d'moi) Jusqu'à c'que je die (Die) mission il va falloir que j'y aille (Aille) Jusqu'à c'que je die (Je die) elle veut savoir comment que j'maille (Quе j'maille) [Pont] Nouvelle cargaison donc partout j'la répands On achètе on revend on arrête on reprend Nou-nouvelle cargaison donc partout j'la répands On achète on revend on arrête on reprend",3D29kjUyWxsT3jUUTtARVQ
Balader,Soolking,2,0.603,0.802,4,-5.089,0,0.111,0.306,5.06e-05,0.124,0.787,130.121,176120,4,"[Paroles de ""Balader"" ft. Niska] [Intro :  Soolking] Ah Tou-tou-tou-touh [Couplet 1 : Soolking &  Niska ] Bébé j'fais des sous j'rentre tard c'est léger j'suis pas trop fêtard J'suis léwé j'roule sur la costa (Ah) ma te-tê sur tous les posters (Paw) J'ai visé tout là-haut (Là-haut) écouté jusqu'à Macao Tu critiques mais t'es K.O (Paw) Là c'est Soolking et Charo des charos  (Boumi') [Pré-refrain : Soolking &  Niska ] Ouh oui elle veut que j'bois dans son verre  (C'est la merde) Ouh oui elle veut l'faire dans l'Range Rover  (Dans la tchop) Ouh oui elle veut que j'bois dans son verre  (Oh my God brr rah) Ouh oui elle veut l'faire dans l'Range Rover  (Gang gang gang ouh) [Refrain : Soolking &  Niska ] J'vais m'balader  (Sale)  mais c'est plus comme avant J'chanterai l'quartier toute ma vie  (Ma life)  même si j'fais l'tour du monde  (Oh oui) J'vais m'balader  (Gang)  mais c'est plus comme avant J'chanterai l'quartier toute ma vie  (Ouais)  même si j'fais l'tour du monde Encaisser des kichtas on est bons qu'à ça Alger Bélize Kinshasa Mais pourquoi le binks ne me quitte pas ? (Mais pourquoi ?) J'ai sorti le bail qui les fait danser Elle aime trop ma musique elle aime que ça Alger Bériz Kinshasa Mais pourquoi le binks ne me quitte pas ? J'ai sorti le bail qui les fait danser [Couplet 2 : Niska &  Soolking ] C'est trop d'la D (Oui) c'est plus la même qu'avant (Han-han) Chacal crois pas qu'on t'a zappé (Nan) on va t'chercher dans toute la France J'fais bouger les tisses-mé ( Ah-ah  oh oui) j'fais partir le tos-ma  (Ah-ah) La zone elle est minée  (Ah-ah)  faut v'-esqui les menottes  (Ah-ah) Charlie Delta au quartier latin Diogo Jota ou Kyky Lottin Méchant méchant on a gâté le coin un peu plus longtemps on est culotté (Bou-bou-bou-bouh) [Pré-refrain : Soolking  Niska  &  ensemble ] Ouh oui  elle veut que j'bois dans son verre   (C'est la merde) Ouh oui  elle veut l'faire dans l'Range Rover   (Dans la tchop) Ouh oui elle veut que j'bois dans son verre  (Oh my God brr rah) Ouh oui elle veut l'faire dans l'Range Rover  (Gang gang gang ouh)",6PrB4KpvuoYWtwjPC5a44S
FADE UP,ZEG P,3,0.758,0.599,4,-5.99,0,0.0877,0.57,1.13e-06,0.129,0.557,129.96,219188,4,"[Paroles de ""FADE UP"" ft. Hamza & SCH] [Intro : tag] Zeg P on the track bitch! [Pré-refrain : Hamza] J'ai passé toute la night à compter mon oseille J't'emmènerai n'importe où cette life me mène J'ai tisé toute la 'teille je crois qu'je touche le ciel J'suis fade up fade up nan J'ai passé toute la night à compter mon oseille J't'emmènerai n'importe où cette life me mène J'ai tisé toute la 'teille je crois qu'je touche le ciel J'suis fade up fade up nan [Refrain : Hamza] Fade up j'suis fade up nan Fade up j'suis fade up nan Fade up j'suis fade up nan Fade up j'suis fade up nan [Couplet 1 : SCH] Si tu comprends c'est qu'on n'est pas vraiment tout seuls Et j't'ai pas menti quand j't'ai écrit ce message Te dire : ""I love you I love you"" sans ouer-j Mais j'suis au carré y en a plein d'autres qui sont fraiches Parking tard la night c'est claqué Miami J'fais seul ma 'sique ma maille on passe en caisse on drive-by Parking tard la night c'est claqué Miami Changé mon Brice en Balmain J'me casse loin j'vous dis : ""Bye bye"" (Bye bye) [Pré-refrain : Hamza] J'ai passé toute la night à compter mon oseille J't'emmènerai n'importe où cette life me mène J'ai tisé toute la 'teille je crois qu'je touche le ciel J'suis fade up fade up nan [Refrain : Hamza] Fade up j'suis fade up nan Fade up j'suis fade up nan Fade up j'suis fade up nan Fade up j'suis fade up nan",4ZpIuzx91EAPK3VimONbfB
I'm Good (Blue),David Guetta,4,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,175238,4,[Chorus] I'm good yeah I'm feelin' alright Baby I'ma have the best fuckin' night of my life And wherever it takes me I'm down for the ride Baby don't you know I'm good yeah I'm feelin' alright 'Cause I'm good yeah I'm feelin' alright Baby I'ma have the best fuckin' night of my life And wherever it takes me I'm down for the ride Baby don't you know I'm good yeah I'm feelin' alright [Drop] Don't you know I'm good yeah I'm feelin' alright [Verse] You know I'm down for whatever tonight I don't need the finer things in life No matter where I go it's a good time yeah And I I don't need to sit in VIP Middle of the floor that's where I'll be Don't got a lot but that's enough for me yeah [Chorus] 'Cause I'm good yeah I'm feelin' alright Baby I'ma have the best fuckin' night of my life And wherever it takes me I'm down for the ride Baby don't you know I'm good yeah I'm feelin' alright [Drop] I'm good Good I'm good Don't you know I'm good yeah I'm feelin' alright [Bridge] So I just let it go let it go Oh na-na-na-na-na No I don't care no more care no more Oh na-na-na-na-na So come on let me know let me know Put your hands up na-na-na No baby nothing's gonna stop us tonight,4uUG5RXrOk84mYEfFvj3cK
Carolina,Ninho,5,0.791,0.904,11,-2.83,0,0.0956,0.384,0.00352,0.106,0.361,100.077,195459,4,"[Paroles de ""Carolina"" ft. Ninho] [Refrain] Carolina (Caro') j'suis pété saoul (J'suis pété saoul) Dehors j'suis drogue dealeur (Dehors c'est nous) J'ai quelques rendez-vous (Oh-oh-oh-oh) J'suis-j'suis trop ter-ter mais j'sais qu'elle m'aime à mort J'irais crosser tout l'monde pour qu'nos jours soient meilleurs (Grr) J'suis trop ter-ter je sais qu'elle m'aime à mort J'irais crosser tout l'monde pour qu'nos jours soient meilleurs [Couplet 1] VIP VIP VIP avec mes mauvais brothers (Brothers) Elles sont onze à vouloir boire mais bon j'les mets au beurre (Au bеurre) VIP VIP VIP avec mes mauvais brothеrs (Brothers) Elles sont onze à vouloir boire mais bon j'les mets au beurre (Au beurre) Touloum chicos j'parle avec les chicanos (Hum) Audi sur l'sol quand j'ouvre la porte du gamos (Hum) Touloum chicos j'parle avec les chicanos (Hum) Audi sur l'sol quand j'ouvre la porte du gamos (Hum) Grosse fesses dans l'booking j'marche avec El Mucho (Eh) une SACEM de baisé j'fais la guerre la noche Ça joue les milliardaires mais bon wari bana on peut faire les crèmes on peut aussi t'niquer ta race (Pah) Sur un contrôle j'finis menotté oh la la on a des gros casiers À tout moment on peut ber-tom on peut s'en aller (Hum) C'est toujours nous les gros méchants tah le fond d'l'allée hey hey hey [Pont] Carolina (Caro') J'suis été saoul Hey hey [Refrain] Carolina (Caro') j'suis pété saoul (J'suis pété saoul) Dehors j'suis drogue dealeur (Dehors c'est nous) J'ai quelques rendez-vous (Oh-oh-oh-oh) J'suis-j'suis trop ter-ter mais j'sais qu'elle m'aime à mort J'irais crosser tout l'monde pour qu'nos jours soient meilleurs (Grr) J'suis trop ter-ter je sais qu'elle m'aime à mort J'irais crosser tout l'monde pour qu'nos jours soient meilleurs",22IP2WKjuGYQ19JAz5GpAv
TOUT VA BIEN (feat. Ninho & Naps),Alonzo,6,0.66,0.72,3,-5.874,0,0.0753,0.301,0.0,0.226,0.628,99.937,192960,4,"[Paroles de ""TOUT VA BIEN"" ft. Naps & Ninho] [Intro : Ninho  Naps  &  Alonzo ] Eh Alonz' SHK (SHK) Naps Mamé eh-eh N.I Mamé eh (Eh) [Couplet 1 : Alonzo &  Ninho ] J'suis sur My Eyes Only dans son bigo Bébé va rentrer tard j'la charge en moto en casque Momo mamé  (Eh) Elle a froid j'lui passe la veste à trois points d'chez Moschino Omri tu n'le sais pas mais je te voulais depuis minot mamé Plus l'âge de se bagarrer on va seulement se garer J'te joue pas d'violon  (Non)  tu sais qu'j'suis violent  (Eh) Le biff tout ça c'est carré ton avenir j'peux assumer J'te joue pas d'violon  (Non)  j'te joue pas d'violon eh-eh  (Eh) [Pré-refrain : Ninho] C'est trop compliqué j'arrête bientôt Le cœur est black tout comme Viano (Oui) J'lève mon flash à ta santé mais c'est chaud eh-eh [Refrain : Ninho] Ma chérie veut Yves Saint Lau'-Lau' J'te donne mon cœur fais pas bobo (Oui) Même tarpin zehef j'fais la photo Tout va bien eh-eh (Eh-eh) Pilotis cocktail co'-co' (Co'-co') J'écoute Omah Lay elle chante ""Lo Lo"" (Oui) J'suis certifié j'peux pas t'follow (Follow) Tout va bien eh-eh [Couplet 2 : Ninho] Madame veut connaître mon budget pour la vie Mais ça charbonne encore donc c'est varié (Varié) À la fin du bal on recomptera les amis Versace sur ma go j'l'emmène danser (Mmh) Il paraît qu'les Seychelles c'est cher (Eh) Dis-moi l'prix j'te dis si c'est dans mes cordes Fais pas la vicelarde j'suis pas né hier Tu fais la meuf qui boude dans le Fe'-Fe' (Eh)",6OZwia8loN0aPS0vTvsBjR
PETETE,Gambi,7,0.752,0.669,10,-9.817,0,0.251,0.167,0.0,0.0795,0.627,155.997,123846,4,"[Paroles de ""PETETE""] [Intro] Pew Grr Pew pew pew pew Skrt rah Rah rah rah rah [Refrain] Y a la CR partout dans l'bloc (Okay) j’suis khabat j'suis vite pété (Okay) Bébé elle donne ça bien (Okay) bébé elle fait ça bien (Okay) J'vois la rue en 1080 full HD (Paw paw) les p’tits vont t'faire ta voiture au boitier (Paw paw) J'suis en fumette j'suis pété-té (Grr) j'suis en buvette j'suis pété-té (Rah) [Couplet unique] Ma chérie ma chérie ma chérie ma chérie (You-hou) hcheum y a rien d'officiel (Ah-ah) J'mets la gasolina dans la Vittel (Ah ah ah ah) avec la vo’-vo’ j'la vois en moins vilaine J’ai les plans dans ma tête j'élabore avec 310 rue du Mont-Thabor (Paw) Y a qu'les gros montants qui m'donnent la barre (Pew pew) on s’fait lever à huit heures dans l'appart' (Pew pew) Doucement doucement doucement pourquoi mon reuf a retourné sa veste ? Au quartier les jaloux on les v'-esqui GS-1250 la béquille Tu prends l'pénalty avec des Track dans nos narines on ne met pas les trucs Ils font que les transactions sur FUT ils font que les transactions sur FUT Armes re-fou et fou d'la gâchette trois fois X le prix d'la cassette (Paw paw) Cent vingt-cinq ça nique la bavette état normal en état d'ivresse J'suis khabat j'sens plus la vitesse j'ai fait sortir la boîte de vitesse (Ouh-ouh) Calcine à mort j'diminue le stress j'suis un raclo qui vient des 3F Bébé pourquoi tu m'as zehef ? T'auras pas le LV ni l'Chanel (Ah-ah) J'ai confiance en moi pas en toi donc j'fais belek à la mañana Ça prémédite comme à Atlanta bouquet final ça va s'arroser Tu fais l'lover elle va t'essorer be careful ma gueule",0z3bi63SNZ5ylyHOzb81Uq
I Ain't Worried,OneRepublic,8,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,148486,4,[Verse 1] I don't know what you've been told But time is running out no need to take it slow I'm stepping to you toe-to-toe I should be scared honey maybe so [Chorus] But I ain't worried 'bout it right now (Right now) Keeping dreams alive 1999 heroes I ain't worried 'bout it right now (Right now) Swimmin' in the floods  dancing on the clouds below [Post-Chorus] I ain't worried 'bout it I ain't worried 'bout it (Hey) [Verse 2] I don't know what you've been told But time is running out so spend it like it's gold I'm living like I'm nine-zeros Got no regrets even when I am broke (Yeah) I'm at my best when I got something I'm wanting to steal Way too busy for them problems and problems to feel (Yeah yeah) No stressing just obsessing with sealing the deal I'll take it in and let it go [Chorus] But I ain't worried 'bout it right now (Right now) Keeping dreams alive 1999 heroes I ain't worried 'bout it right now (Right now) Swimmin' in the floods dancing on the clouds below [Post-Chorus] I ain't worried 'bout it I ain't worried 'bout it (Hey) [Bridge] Ooh I ain't worried Ooh oh no no,4h9wh7iOZ0GGn8QVp4RAOB
Unholy (feat. Kim Petras),Sam Smith,9,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,156943,4,[Intro: Sam Smith &  Kim Petras ] Doing something unholy [Verse 1: Sam Smith] A lucky lucky girl She got married to a boy like you She'd kick you out if she ever ever knew 'Bout all the **** you tell me that you do Dirty dirty boy You know everyone is talkin' on the scene I hear them whisperin' 'bout the places that you've been And how you don't know how to keep your business clean [Chorus: Sam Smith &  Kim Petras ] Mummy don't know daddy's getting hot At the body shop Doin' somethin' unholy He's sat back while she's droppin' it She be poppin' it Yeah she put it down slowly Oh-ee-oh-ee-oh he left his kids at Ho-ee-oh-ee-ome so he can gеt that Mummy don't know daddy's getting hot At the body shop Doin' somethin' unholy ( Woo ) [Verse 2: Kim Petras] Mm daddy daddy if you want it drop thе addy (Yeah yeah) Give me love give me Fendi my Balenciaga daddy You gon' need to bag it up 'cause I'm spendin' on Rodeo (Woo) You can watch me back it up I'll be gone in the A.M. (Yeah) And he he get me Prada get me Miu Miu like Rihanna (Ah) He always call me 'cause I never cause no drama And when you want it baby I know I got you covered And when you need it baby just jump under the covers (Yeah) [Chorus: Sam Smith  Sam & Kim Petras ] Mummy don't know daddy's getting hot (Hot) At the body shop (Shop) Doin' somethin' unholy He's sat back while she's droppin' it (She) She be poppin' it (She) Yeah she put it down slowly ( Yeah ) Mummy don't know daddy's getting hot (Hot) At the body shop (Shop) Doin' somethin' unholy He's sat back while she's droppin' it (She) She be poppin' it (She) Yeah she put it down slowly,3nqQXoyQOWXiESFLlDF1hG
DESPECHÁ,ROSALÍA,10,0.914,0.622,7,-6.538,1,0.0892,0.146,1.68e-05,0.0632,0.77,130.04,156788,4,"[Letra de ""DESPECHÁ""] [Intro] Yeah-yeah Yeah-yeah Mmm [Pre-Coro] Baby no me llame' Que yo estoy ocupá' olvidando tus male' Ya decidí que esta noche se sale Con toa' mis motomami' con toda' mis yale' [Coro] Y ando despechá' woah alocá' Bajé con un flow nuevo 'e caja baby hackeá' Lo muevo de la'o a la'o y a otro la'o Hoy salgo con mi baby de la disco coroná' Y ando despechá' woah alocá' Que Dios me libre de volver a tu la'o Lo muevo de la'o a la'o y a otro la'o Hoy salgo con mi baby de la disco coroná' coroná' yeah [Verso] Voy con la falda aro' y cadena' Piña colada no tengo pena 'Toy con la Fefa ella es la jefa Ella lo baila еlla me enseña Hoy no trabaja еsta morena Fuck la fama fuck la faena La noche es larga la noche está buena Mambo violento y fin del problema Mira qué fácil te lo voy a decir A B C one two three Mira qué fácil te lo voy a decir Que esta motomami ya no está pa' ti Mira qué fácil te lo voy a decir A B C one two three Mira qué fácil te lo voy a decir Que esta motomami—",53tfEupEzQRtVFOeZvk7xq
